movement_id,vessel_call_id,container_no,container_size,move_type,equipment_id,shift_id,customer_id,terminal_id,move_start_time,move_end_time,is_reefer,weight_tons
1,1,MSCU5737610,40ft,Discharge,3,2,12,2,2025-04-01 19:33:31.234,2025-04-01 19:34:46.234,0,26.74
2,1,MSCU2735625,40HC,Shift,8,1,12,2,2025-04-01 09:55:31.234,2025-04-01 09:58:07.234,1,19.56
3,1,MSKU1684580,20ft,Discharge,4,1,12,2,2025-04-01 08:08:31.234,2025-04-01 08:11:44.234,0,15.13
4,1,MSCU6710879,40ft,Load,3,2,12,2,2025-04-01 17:35:31.234,2025-04-01 17:36:58.234,0,27.9
5,1,ONEU4180366,20ft,Discharge,12,3,12,2,2025-04-01 22:58:31.234,2025-04-01 23:01:27.234,1,5.84
6,1,COSU3472234,20ft,Load,8,1,12,2,2025-04-01 09:38:31.234,2025-04-01 09:40:25.234,0,16.45
7,1,MSCU8389250,40ft,Load,3,3,12,2,2025-04-01 03:00:31.234,2025-04-01 03:01:48.234,0,17.29
8,1,CMAU3042196,40ft,Load,3,3,12,2,2025-04-02 04:00:31.234,2025-04-02 04:03:18.234,0,28.12
9,1,COSU8864457,40ft,Load,8,1,12,2,2025-04-01 08:33:31.234,2025-04-01 08:35:09.234,0,17.65
10,1,EGLV2927884,40ft,Discharge,8,2,12,2,2025-04-01 17:18:31.234,2025-04-01 17:22:04.234,0,12.73
11,1,MSCU7036092,20ft,Load,4,3,12,2,2025-04-01 04:10:31.234,2025-04-01 04:12:04.234,0,7.34
12,1,COSU7512035,20ft,Discharge,4,2,12,2,2025-04-01 14:47:31.234,2025-04-01 14:49:18.234,0,2.41
13,1,COSU6854263,40ft,Load,7,3,12,2,2025-04-01 05:55:31.234,2025-04-01 05:57:02.234,0,15.14
14,1,COSU5217925,20ft,Load,12,1,12,2,2025-04-01 10:55:31.234,2025-04-01 10:58:38.234,1,20.23
15,1,CMAU5186037,40ft,Load,3,1,12,2,2025-04-01 07:13:31.234,2025-04-01 07:15:35.234,0,8.49
16,1,MSKU8650750,40ft,Load,4,1,12,2,2025-04-02 06:41:31.234,2025-04-02 06:43:33.234,0,21.54
17,1,HLXU9229939,40ft,Discharge,7,1,12,2,2025-04-01 08:11:31.234,2025-04-01 08:13:33.234,0,17.81
18,1,EGLV4659243,40ft,Load,12,1,12,2,2025-04-01 12:35:31.234,2025-04-01 12:38:50.234,0,12.36
19,1,ONEU7813919,20ft,Discharge,7,3,12,2,2025-04-02 04:39:31.234,2025-04-02 04:41:48.234,0,3.97
20,1,MSKU3230058,40ft,Discharge,3,1,12,2,2025-04-02 06:48:31.234,2025-04-02 06:50:46.234,0,25.16
21,1,ONEU4243892,40ft,Discharge,8,3,12,2,2025-04-01 22:16:31.234,2025-04-01 22:19:36.234,0,18.25
22,1,HLXU1710384,40ft,Discharge,12,3,12,2,2025-04-01 23:42:31.234,2025-04-01 23:44:11.234,0,31.33
23,1,MSKU7594113,40HC,Load,7,1,12,2,2025-04-01 09:15:31.234,2025-04-01 09:17:12.234,0,20.91
24,1,CMAU2452081,40ft,Discharge,3,2,12,2,2025-04-01 18:16:31.234,2025-04-01 18:18:10.234,0,12.77
25,1,ONEU2015896,40ft,Discharge,7,2,12,2,2025-04-01 18:53:31.234,2025-04-01 18:56:40.234,1,15.73
26,1,ONEU5087653,20ft,Load,3,3,12,2,2025-04-02 00:06:31.234,2025-04-02 00:09:26.234,0,6.25
27,1,ONEU7003673,20ft,Discharge,4,3,12,2,2025-04-02 00:31:31.234,2025-04-02 00:33:42.234,1,16.74
28,1,CMAU6730853,20ft,Discharge,4,2,12,2,2025-04-01 19:24:31.234,2025-04-01 19:27:49.234,0,22.65
29,1,CMAU5032072,40ft,Load,7,3,12,2,2025-04-02 03:41:31.234,2025-04-02 03:44:58.234,1,24.12
30,1,CMAU5614354,45ft,Restow,7,1,12,2,2025-04-01 07:02:31.234,2025-04-01 07:05:29.234,0,12.47
31,1,CMAU2982457,45ft,Load,7,3,12,2,2025-04-02 03:59:31.234,2025-04-02 04:02:54.234,0,30.49
32,1,MSCU7288947,40ft,Discharge,12,1,12,2,2025-04-02 09:53:31.234,2025-04-02 09:56:51.234,0,7.3
33,1,CMAU3448664,40ft,Restow,12,2,12,2,2025-04-01 19:01:31.234,2025-04-01 19:03:38.234,0,4.17
