customer_id,effective_from,effective_to,customer_tier,credit_limit,change_reason
1,2020-01-01,9999-12-31,Platinum,5000000,Initial
2,2020-01-01,9999-12-31,Platinum,4500000,Initial
3,2020-01-01,2025-11-19 00:00:00,Gold,3000000,Initial
3,2025-11-20,9999-12-31,Platinum,3800000,Tier Change
4,2020-01-01,9999-12-31,Gold,2500000,Initial
5,2020-01-01,9999-12-31,Gold,2200000,Initial
6,2020-01-01,2025-07-14 00:00:00,Silver,1800000,Initial
6,2025-07-15,9999-12-31,Gold,2000000,Tier Change
7,2020-01-01,9999-12-31,Gold,2800000,Initial
8,2020-01-01,2025-08-31 00:00:00,Silver,1200000,Initial
8,2025-09-01,9999-12-31,Bronze,800000,Tier Change
9,2020-01-01,9999-12-31,Silver,1000000,Initial
10,2020-01-01,9999-12-31,Silver,1500000,Initial
11,2020-01-01,2025-10-09 00:00:00,Bronze,800000,Initial
11,2025-10-10,9999-12-31,Silver,1100000,Tier Change
12,2020-01-01,9999-12-31,Bronze,600000,Initial
