gate_txn_id,truck_plate,container_no,customer_id,terminal_id,direction,gate_in_time,gate_out_time,shift_id
1,A37712,MSKU1899862,7,4,IN,2025-04-01 08:49:00,2025-04-01 09:42:00,1
2,A85247,HLXU7725362,9,3,IN,2025-04-01 21:36:00,2025-04-01 22:21:00,2
3,C64704,HLXU5220531,6,1,OUT,2025-04-01 23:21:00,2025-04-02 00:32:00,3
4,A85285,MSKU5311367,1,1,IN,2025-04-01 14:17:00,2025-04-01 14:53:00,2
5,A33453,ONEU6304327,9,3,IN,2025-04-01 11:41:00,2025-04-01 12:27:00,1
6,A76446,MSKU1257261,10,4,OUT,2025-04-01 13:37:00,2025-04-01 14:39:00,1
7,D72779,EGLV4384083,10,1,OUT,2025-04-01 12:18:00,2025-04-01 13:22:00,1
8,D73350,ONEU4795397,8,1,OUT,2025-04-01 17:16:00,2025-04-01 18:02:00,2
9,A75495,COSU9356463,8,1,IN,2025-04-01 16:20:00,2025-04-01 17:04:00,2
10,B83133,CMAU5610674,7,4,IN,2025-04-01 17:33:00,2025-04-01 18:19:00,2
11,A54984,CMAU1316950,3,1,IN,2025-04-01 20:57:00,2025-04-01 21:44:00,2
12,C82852,CMAU1544766,6,2,IN,2025-04-01 22:33:00,2025-04-01 23:34:00,3
13,E93277,COSU8864610,2,2,IN,2025-04-01 23:17:00,2025-04-02 00:06:00,3
14,B49568,MSCU5850434,9,2,IN,2025-04-01 07:17:00,2025-04-01 08:10:00,1
15,B14205,CMAU9513603,1,2,OUT,2025-04-01 08:36:00,2025-04-01 09:39:00,1
16,E19887,MSKU1892893,8,4,OUT,2025-04-01 23:42:00,2025-04-02 00:15:00,3
17,C51993,ONEU8217894,4,3,IN,2025-04-01 18:29:00,2025-04-01 18:59:00,2
18,B62091,ONEU4086062,1,3,OUT,2025-04-01 10:34:00,2025-04-01 11:25:00,1
19,D19644,COSU6546116,7,1,IN,2025-04-01 11:29:00,2025-04-01 12:18:00,1
20,C84275,CMAU4685590,1,2,OUT,2025-04-01 16:18:00,2025-04-01 16:54:00,2
21,D60310,MSCU2447716,9,1,OUT,2025-04-01 11:09:00,2025-04-01 11:49:00,1
22,B57698,MSKU5978623,7,2,OUT,2025-04-01 10:47:00,2025-04-01 11:37:00,1
23,D27537,MSKU6435062,4,2,OUT,2025-04-01 13:19:00,2025-04-01 13:58:00,1
24,B76982,EGLV8430241,6,1,OUT,2025-04-01 22:03:00,2025-04-01 22:44:00,3
25,B36653,MSCU9206678,10,1,OUT,2025-04-01 07:43:00,2025-04-01 08:17:00,1
26,A30799,CMAU9863755,4,1,IN,2025-04-01 19:52:00,2025-04-01 21:01:00,2
27,E67807,MSKU3488726,10,4,IN,2025-04-01 10:25:00,2025-04-01 11:04:00,1
28,D53524,CMAU7870513,12,3,OUT,2025-04-01 15:06:00,2025-04-01 15:49:00,2
29,D85062,COSU1886827,1,4,IN,2025-04-01 11:31:00,2025-04-01 16:50:00,1
30,C75958,EGLV6266942,5,3,OUT,2025-04-01 22:24:00,2025-04-01 23:04:00,3
31,D74282,COSU6110396,3,3,OUT,2025-04-01 19:16:00,2025-04-01 20:25:00,2
32,A83947,MSCU9081179,12,1,IN,2025-04-01 18:25:00,2025-04-01 19:12:00,2
33,A31849,MSCU5811247,12,3,OUT,2025-04-01 07:25:00,2025-04-01 08:20:00,1
34,A87479,MSKU3417677,7,4,IN,2025-04-01 17:17:00,2025-04-01 18:07:00,2
35,F70139,MSKU3072905,11,2,OUT,2025-04-01 07:33:00,2025-04-01 08:35:00,1
36,C85137,MSKU2409218,3,3,OUT,2025-04-01 19:34:00,2025-04-01 20:40:00,2
37,D70925,MSCU6973803,6,3,IN,2025-04-01 13:11:00,2025-04-01 13:23:00,1
38,E18263,MSKU1534594,5,1,IN,2025-04-01 13:11:00,2025-04-01 13:52:00,1
39,C42529,COSU4766920,5,3,IN,2025-04-01 16:51:00,2025-04-01 18:05:00,2
40,D52552,MSCU2450639,11,2,IN,2025-04-01 23:08:00,2025-04-02 00:05:00,3
41,C71143,MSKU9220294,3,2,IN,2025-04-01 12:17:00,2025-04-01 12:39:00,1
42,A37752,CMAU8655598,2,2,OUT,2025-04-01 11:40:00,2025-04-01 12:16:00,1
