vessel_call_id,vessel_name,voyage_no,customer_id,terminal_id,eta,ata,atd,total_moves_planned,total_moves_actual,status
1,OOCL HONG KONG,V178E,12,2,2025-04-01 02:30:00,2025-04-01 02:14:31.234,2025-04-02 11:14:31.234,501,514,Departed
2,WAN HAI 805,V477E,6,2,2025-04-01 13:00:00,2025-04-01 10:51:50.597,2025-04-03 07:51:50.597,876,910,Departed
3,ONE APUS,V618E,10,2,2025-04-01 12:30:00,2025-04-01 13:56:29.343,2025-04-03 09:56:29.343,2501,2367,Departed
4,ZIM ROTTERDAM,V924E,1,3,2025-04-01 07:15:00,2025-04-01 09:22:46.445,2025-04-03 08:22:46.445,820,724,Departed
5,HMM ALGECIRAS,V539E,8,1,2025-04-02 15:15:00,2025-04-02 15:50:52.023,2025-04-04 10:50:52.023,2322,2274,Departed
6,WAN HAI 805,V658E,5,3,2025-04-02 12:30:00,2025-04-02 09:44:43.297,2025-04-04 05:44:43.297,2046,2002,Departed
7,ONE APUS,V307E,5,2,2025-04-02 00:00:00,2025-04-02 02:26:01.889,2025-04-03 21:26:01.889,2541,2753,Departed
8,YM WISDOM,V468E,4,2,2025-04-02 22:45:00,2025-04-02 19:24:44.452,2025-04-04 16:24:44.452,2178,2216,Departed
9,OOCL HONG KONG,V134E,5,2,2025-04-03 14:00:00,2025-04-03 11:03:31.882,2025-04-05 09:03:31.882,1460,1503,Departed
10,YM WISDOM,V287E,7,3,2025-04-03 15:00:00,2025-04-03 12:25:38.495,2025-04-05 01:25:38.495,795,725,Departed
11,CMA CGM MARCO POLO,V865E,7,1,2025-04-03 14:00:00,2025-04-03 15:50:01.606,2025-04-05 15:50:01.606,740,762,Departed
12,HMM ALGECIRAS,V912E,4,1,2025-04-03 03:00:00,2025-04-03 03:03:30.024,2025-04-04 15:03:30.024,1033,903,Departed
13,COSCO SHIPPING UNIVERSE,V780E,10,3,2025-04-04 15:15:00,2025-04-04 13:04:45.953,2025-04-05 11:04:45.953,2467,2427,Departed
14,HYUNDAI VICTORY,V186E,7,3,2025-04-04 05:15:00,2025-04-04 06:10:34.278,2025-04-05 15:10:34.278,2479,2209,Departed
15,ONE APUS,V927E,3,3,2025-04-05 06:45:00,2025-04-05 07:41:37.257,2025-04-06 01:41:37.257,610,611,Departed
16,COSCO SHIPPING UNIVERSE,V761E,6,1,2025-04-05 00:45:00,2025-04-04 23:57:04.717,2025-04-06 09:57:04.717,897,930,Departed
17,YM WISDOM,V577E,10,3,2025-04-05 05:15:00,2025-04-05 04:06:20.754,2025-04-06 15:06:20.754,2279,2236,Departed
18,CMA CGM MARCO POLO,V794E,12,1,2025-04-06 17:45:00,2025-04-06 20:34:15.283,2025-04-07 21:34:15.283,585,593,Departed
19,OOCL HONG KONG,V657E,1,2,2025-04-06 20:15:00,2025-04-06 17:15:07.133,2025-04-07 08:15:07.133,928,935,Departed
20,OOCL HONG KONG,V642E,4,3,2025-04-06 04:15:00,2025-04-06 03:34:14.922,2025-04-07 10:34:14.922,2142,2083,Departed
21,ZIM ROTTERDAM,V524E,2,2,2025-04-06 09:15:00,2025-04-06 08:22:42.590,2025-04-08 05:22:42.590,2102,2170,Departed
22,YM WISDOM,V281E,6,3,2025-04-07 15:45:00,2025-04-07 18:21:01.337,2025-04-09 01:21:01.337,787,835,Departed
23,CMA CGM MARCO POLO,V336E,1,1,2025-04-07 14:30:00,2025-04-07 11:34:13.744,2025-04-08 12:34:13.744,511,535,Departed
24,COSCO SHIPPING UNIVERSE,V966E,3,2,2025-04-07 17:15:00,2025-04-07 19:41:56.594,2025-04-08 22:41:56.594,2734,2871,Departed
25,HMM ALGECIRAS,V374E,11,3,2025-04-08 04:00:00,2025-04-08 04:10:38.368,2025-04-09 21:10:38.368,1101,1076,Departed
26,EVER GIVEN,V800E,1,2,2025-04-08 23:15:00,2025-04-08 22:40:23.666,2025-04-10 08:40:23.666,1533,1504,Departed
27,HMM ALGECIRAS,V957E,2,2,2025-04-08 10:15:00,2025-04-08 10:12:03.104,2025-04-10 02:12:03.104,1452,1478,Departed
